,value
593,13.49999999999999
594,14.849999999999989
595,16.01249999999999
596,15.08749999999999
597,13.88749999999999
598,12.462499999999991
599,11.449999999999992
600,9.824999999999992
601,8.024999999999991
602,6.062499999999991
603,4.699999999999991
604,4.299999999999992
605,4.362499999999992
606,4.149999999999992
607,3.7499999999999925
608,3.8124999999999925
609,3.587499999999993
610,3.6749999999999927
611,3.6374999999999926
612,3.9624999999999924
613,5.0999999999999925
614,7.074999999999992
615,6.512499999999992
616,7.4749999999999925
617,8.224999999999993
618,8.587499999999993
619,9.162499999999993
620,8.887499999999992
621,7.687499999999992
622,5.637499999999992
623,5.962499999999992
624,4.887499999999992
625,4.012499999999992
626,3.712499999999992
627,3.1499999999999915
628,3.2249999999999917
629,3.299999999999992
630,3.5749999999999917
631,3.737499999999992
632,3.7624999999999917
633,3.9749999999999917
634,3.9874999999999914
635,4.037499999999992
636,3.987499999999992
637,4.174999999999992
638,5.637499999999992
639,7.362499999999993
640,8.424999999999994
641,10.162499999999994
642,11.874999999999993
643,13.474999999999993
644,13.424999999999992
645,13.574999999999992
646,12.112499999999992
647,10.487499999999992
648,9.324999999999992
649,7.437499999999993
650,5.6624999999999925
651,3.9874999999999923
652,4.112499999999993
653,3.649999999999993
654,3.3624999999999927
655,3.212499999999993
656,3.162499999999993
657,3.1249999999999933
658,3.0999999999999934
659,3.299999999999993
660,3.9499999999999935
661,4.949999999999993
662,6.524999999999993
663,8.249999999999993
664,10.099999999999993
665,12.399999999999993
666,14.512499999999994
667,15.874999999999993
668,16.037499999999994
669,16.162499999999994
670,14.962499999999995
671,13.324999999999996
672,11.662499999999994
673,9.587499999999995
674,7.824999999999995
675,6.862499999999995
676,5.949999999999996
677,4.824999999999996
678,4.599999999999996
679,4.449999999999996
680,4.399999999999996
681,4.262499999999996
682,3.9874999999999954
683,3.6249999999999956
684,3.5749999999999957
685,4.212499999999996
686,4.562499999999996
687,4.874999999999996
688,5.249999999999996
689,5.612499999999996
690,6.099999999999997
691,6.087499999999997
692,6.162499999999997
693,5.737499999999996
694,5.237499999999996
695,4.924999999999996
696,4.412499999999996
697,4.387499999999996
698,4.012499999999996
699,3.849999999999995
700,3.799999999999995
701,3.9499999999999953
702,3.974999999999995
703,3.899999999999995
704,4.099999999999995
705,3.7999999999999954
706,3.6499999999999955
707,3.862499999999995
708,4.037499999999995
709,4.124999999999996
710,4.374999999999996
711,4.424999999999995
712,4.824999999999996
713,5.724999999999995
714,7.062499999999995
715,8.149999999999995
716,8.224999999999994
717,8.212499999999993
718,8.487499999999994
719,8.924999999999994
720,8.487499999999994
721,7.587499999999993
722,6.137499999999994
723,4.762499999999994
724,4.2999999999999945
725,3.949999999999994
726,3.337499999999994
727,2.949999999999994
728,2.774999999999994
729,2.537499999999994
730,2.4874999999999936
731,2.5249999999999937
732,2.7624999999999935
733,3.0874999999999937
734,4.274999999999993
735,5.312499999999993
736,4.9749999999999925
737,6.324999999999992
738,7.799999999999992
739,8.999999999999991
740,9.812499999999991
741,9.66249999999999
742,8.53749999999999
743,7.412499999999991
744,8.03749999999999
745,6.82499999999999
746,5.32499999999999
747,4.09999999999999
748,3.1249999999999902
749,2.9124999999999903
750,3.1624999999999903
751,3.5874999999999906
752,3.3249999999999904
753,3.4124999999999903
754,3.4999999999999902
755,3.38749999999999
756,3.41249999999999
757,3.92499999999999
758,4.44999999999999
759,4.837499999999991
760,6.18749999999999
761,7.624999999999989
762,8.89999999999999
763,10.637499999999989
764,11.349999999999987
765,11.049999999999988
766,10.387499999999989
767,9.824999999999989
768,8.724999999999989
769,7.124999999999989
770,5.97499999999999
771,4.349999999999989
772,3.5624999999999885
773,3.2124999999999884
774,3.0999999999999885
775,2.8749999999999885
776,2.5624999999999885
777,2.6749999999999887
778,2.5499999999999887
779,2.5749999999999886
780,2.8249999999999886
781,3.5749999999999886
782,4.199999999999989
783,4.9374999999999885
784,6.712499999999989
785,8.86249999999999
786,10.49999999999999
787,11.699999999999989
788,12.287499999999989
789,12.487499999999988
790,12.074999999999989
791,11.537499999999989
792,10.099999999999987
793,8.112499999999988
794,6.562499999999989
795,5.474999999999989
796,4.737499999999989
797,3.974999999999989
798,4.024999999999989
799,3.874999999999989
800,3.674999999999989
801,3.4374999999999893
802,3.2374999999999896
803,3.03749999999999
804,3.3249999999999895
805,3.6249999999999893
806,4.6999999999999895
807,6.862499999999989
808,6.424999999999989
809,6.112499999999989
810,8.43749999999999
811,10.162499999999989
812,9.487499999999988
813,8.762499999999989
814,9.224999999999989
815,6.674999999999989
816,6.674999999999989
817,7.1999999999999895
818,5.08749999999999
819,3.0749999999999895
820,3.4624999999999897
821,3.4624999999999897
822,1.3499999999999899
823,1.82499999999999
824,1.82499999999999
825,1.5999999999999899
826,1.46249999999999
827,1.88749999999999
828,1.97499999999999
829,2.82499999999999
830,3.9999999999999902
831,4.837499999999991
832,7.13749999999999
833,8.93749999999999
834,10.837499999999988
835,12.649999999999988
836,13.924999999999988
837,14.087499999999988
838,13.837499999999988
839,13.162499999999987
840,11.424999999999986
841,9.687499999999988
842,7.849999999999988
843,5.962499999999989
844,4.4999999999999885
845,3.899999999999988
846,3.2999999999999883
847,2.962499999999988
848,2.6999999999999877
849,2.6999999999999877
850,2.6999999999999877
851,2.6999999999999877
852,3.1624999999999877
853,4.762499999999989
854,6.887499999999989
855,9.349999999999987
856,11.162499999999987
857,12.762499999999987
858,14.337499999999986
859,15.674999999999985
860,16.387499999999985
861,15.474999999999987
862,13.974999999999987
863,11.749999999999986
864,10.049999999999986
865,8.537499999999985
866,7.062499999999986
867,5.824999999999986
868,4.812499999999986
869,4.037499999999985
870,3.562499999999985
871,3.399999999999985
872,3.337499999999985
873,3.2624999999999846
874,3.149999999999985
875,3.1374999999999846
876,3.1749999999999843
877,3.474999999999984
878,4.074999999999984
879,4.724999999999984
880,5.824999999999984
881,7.299999999999985
882,9.112499999999985
883,10.649999999999984
884,11.337499999999984
885,11.462499999999984
886,10.912499999999985
887,10.562499999999986
888,9.549999999999986
889,8.062499999999988
890,6.274999999999988
891,4.624999999999988
892,3.7624999999999877
893,3.3749999999999876
894,3.3249999999999877
895,3.0124999999999877
896,3.0749999999999877
897,3.124999999999988
898,2.962499999999988
899,2.9124999999999877
900,3.2499999999999876
901,3.612499999999988
902,3.7749999999999875
903,5.124999999999988
904,6.787499999999987
905,9.249999999999988
906,11.874999999999988
907,13.812499999999988
908,14.762499999999987
909,14.974999999999987
910,14.924999999999988
911,13.687499999999988
912,11.862499999999988
913,9.387499999999989
914,6.987499999999988
915,5.174999999999988
916,4.012499999999989
917,3.474999999999989
918,3.237499999999989
919,3.137499999999989
920,3.3374999999999893
921,3.299999999999989
922,3.2499999999999893
923,3.3624999999999896
924,3.2874999999999894
925,3.62499999999999
926,4.84999999999999
927,6.38749999999999
928,7.787499999999991
929,9.51249999999999
930,11.34999999999999
931,13.112499999999992
932,14.299999999999992
933,14.47499999999999
934,14.087499999999991
935,12.649999999999991
936,11.274999999999991
937,9.612499999999992
938,7.7249999999999925
939,5.862499999999992
940,4.787499999999992
941,4.374999999999992
942,3.512499999999992
943,3.387499999999992
944,3.2124999999999924
945,3.2749999999999924
946,3.4124999999999925
947,3.4749999999999925
948,2.9999999999999925
949,3.687499999999993
950,5.437499999999993
951,7.687499999999993
952,9.949999999999994
953,11.312499999999993
954,12.549999999999994
955,14.262499999999994
956,15.687499999999995
957,15.562499999999993
958,14.512499999999992
959,12.987499999999992
960,10.97499999999999
961,9.587499999999991
962,8.237499999999992
963,6.449999999999992
964,5.387499999999992
965,4.712499999999992
966,3.962499999999993
967,3.2749999999999924
968,3.0499999999999927
969,3.037499999999993
970,3.074999999999993
971,2.8749999999999933
972,3.1749999999999936
973,4.174999999999994
974,5.212499999999993
975,6.162499999999993
976,7.212499999999993
977,8.774999999999995
978,10.199999999999994
979,11.837499999999995
980,12.449999999999996
981,12.174999999999997
982,11.999999999999996
983,11.337499999999997
984,10.324999999999996
985,8.662499999999994
986,7.224999999999993
987,5.837499999999993
988,5.0374999999999925
989,4.4124999999999925
990,3.937499999999992
991,3.7874999999999925
992,3.812499999999992
993,3.7624999999999917
994,3.6374999999999913
995,3.6374999999999913
996,4.012499999999991
997,4.599999999999992
998,5.112499999999992
999,6.137499999999991
1000,6.662499999999992
1001,7.462499999999992
1002,8.749999999999993
1003,10.337499999999993
1004,11.124999999999993
1005,10.824999999999994
1006,10.249999999999993
1007,9.374999999999993
1008,8.824999999999992
1009,8.224999999999993
1010,6.962499999999992
1011,5.3499999999999925
1012,4.062499999999992
1013,3.6124999999999923
1014,3.324999999999992
1015,2.987499999999992
1016,2.8874999999999917
1017,2.7249999999999917
1018,2.6374999999999917
1019,2.562499999999992
1020,2.749999999999992
1021,3.4749999999999917
1022,4.324999999999992
1023,5.299999999999992
1024,6.137499999999992
1025,7.487499999999992
1026,9.412499999999993
1027,11.112499999999992
1028,11.824999999999992
1029,11.574999999999992
1030,11.274999999999993
1031,10.674999999999994
1032,9.899999999999993
1033,8.599999999999993
1034,6.8499999999999925
1035,5.199999999999993
1036,4.312499999999993
1037,3.887499999999993
1038,3.4749999999999934
1039,3.2374999999999936
1040,3.1124999999999936
1041,3.1124999999999936
1042,2.9624999999999937
1043,2.9624999999999937
1044,2.599999999999994
1045,3.149999999999994
1046,4.062499999999994
1047,5.299999999999994
1048,7.612499999999994
1049,9.674999999999994
1050,11.774999999999993
1051,13.424999999999992
1052,14.787499999999993
1053,14.662499999999993
1054,13.924999999999992
1055,12.78749999999999
1056,10.57499999999999
1057,8.59999999999999
1058,6.587499999999991
1059,4.94999999999999
1060,3.9749999999999908
1061,3.7124999999999906
1062,3.424999999999991
1063,3.312499999999991
1064,3.387499999999991
1065,3.3749999999999907
1066,3.449999999999991
1067,3.3374999999999906
1068,3.5499999999999905
1069,4.049999999999991
1070,4.86249999999999
1071,5.36249999999999
1072,6.28749999999999
1073,7.849999999999989
1074,9.224999999999989
1075,10.662499999999989
1076,10.949999999999989
1077,10.81249999999999
1078,10.362499999999988
1079,10.174999999999988
1080,9.299999999999988
1081,7.612499999999988
1082,6.174999999999988
1083,4.712499999999989
1084,4.012499999999989
1085,3.4749999999999885
1086,3.1749999999999883
1087,2.7374999999999883
1088,2.4374999999999885
1089,2.3999999999999884
1090,2.4249999999999883
1091,2.5624999999999885
1092,3.0499999999999883
1093,3.6749999999999883
1094,4.862499999999988
1095,6.237499999999988
1096,7.749999999999988
1097,9.274999999999986
1098,10.912499999999987
1099,12.274999999999988
1100,12.874999999999988
1101,12.487499999999986
1102,11.862499999999986
1103,10.574999999999987
1104,9.424999999999986
1105,7.987499999999986
1106,6.324999999999986
1107,4.8624999999999865
1108,3.924999999999987
1109,3.6999999999999864
1110,3.0749999999999864
1111,3.0874999999999866
1112,2.7999999999999865
1113,2.7499999999999862
1114,2.724999999999986
1115,2.787499999999986
1116,3.0624999999999862
1117,3.762499999999986
1118,5.549999999999986
1119,7.512499999999985
1120,9.337499999999986
1121,11.262499999999987
1122,13.324999999999985
1123,15.487499999999985
1124,17.012499999999985
1125,17.199999999999985
1126,16.312499999999986
1127,15.174999999999985
1128,13.912499999999984
1129,12.124999999999982
1130,10.124999999999982
1131,7.874999999999982
1132,6.074999999999982
1133,5.262499999999982
1134,4.462499999999983
1135,3.5624999999999822
1136,3.074999999999982
1137,2.949999999999982
1138,2.824999999999982
1139,3.074999999999982
1140,3.462499999999982
1141,3.799999999999982
1142,4.287499999999982
1143,4.749999999999982
1144,5.799999999999982
1145,7.687499999999982
1146,9.71249999999998
1147,11.21249999999998
1148,11.762499999999982
1149,11.649999999999983
1150,11.437499999999982
1151,10.899999999999983
1152,9.762499999999983
1153,7.937499999999983
1154,5.987499999999982
1155,4.362499999999981
1156,3.4749999999999814
1157,3.237499999999981
1158,3.0624999999999813
1159,3.1874999999999813
1160,3.3374999999999813
1161,3.224999999999981
1162,3.237499999999981
1163,3.199999999999981
1164,3.5124999999999806
1165,4.199999999999981
1166,5.212499999999981
1167,6.7624999999999815
1168,8.46249999999998
1169,10.12499999999998
1170,12.374999999999982
1171,14.162499999999982
1172,15.249999999999982
1173,14.924999999999983
1174,14.474999999999984
1175,12.962499999999983
1176,11.312499999999982
1177,9.687499999999982
1178,7.762499999999982
1179,6.212499999999983
1180,5.024999999999983
1181,4.737499999999983
1182,3.9999999999999827
1183,3.8749999999999822
1184,3.899999999999982
1185,3.9249999999999825
1186,3.2749999999999826
1187,2.9499999999999824
1188,2.712499999999982
1189,3.912499999999982
1190,5.524999999999982
1191,7.749999999999981
1192,9.52499999999998
1193,11.17499999999998
1194,13.28749999999998
1195,14.612499999999981
1196,15.19999999999998
1197,13.82499999999998
1198,12.21249999999998
1199,10.23749999999998
1200,8.462499999999979
1201,6.74999999999998
1202,5.01249999999998
1203,3.7499999999999796
1204,3.224999999999979
1205,3.2749999999999795
1206,3.3874999999999797
1207,3.14999999999998
1208,3.03749999999998
1209,3.1249999999999805
1210,3.0749999999999806
1211,3.0499999999999807
1212,3.274999999999981
1213,3.837499999999981
1214,5.837499999999981
1215,8.27499999999998
1216,10.074999999999982
1217,11.962499999999983
1218,14.062499999999982
1219,15.912499999999984
1220,16.374999999999986
1221,16.249999999999986
1222,14.362499999999985
1223,12.024999999999984
1224,10.199999999999985
1225,8.262499999999985
1226,6.2249999999999845
1227,4.3499999999999845
1228,3.5999999999999845
1229,3.124999999999985
1230,2.874999999999985
1231,2.824999999999985
1232,2.9124999999999854
1233,2.9374999999999853
1234,2.7499999999999853
1235,2.7999999999999856
1236,3.1499999999999857
1237,4.899999999999986
1238,6.962499999999986
1239,8.699999999999987
1240,10.499999999999988
1241,12.199999999999987
1242,14.162499999999987
1243,15.849999999999989
1244,16.13749999999999
1245,14.737499999999988
1246,12.699999999999989
1247,10.862499999999988
1248,8.962499999999988
1249,7.174999999999988
1250,5.337499999999988
1251,3.624999999999988
1252,3.037499999999988
1253,2.7624999999999877
1254,2.987499999999988
1255,2.9999999999999876
1256,3.0374999999999877
1257,3.1249999999999876
1258,3.0624999999999876
1259,3.0499999999999874
1260,3.4499999999999873
1261,3.587499999999987
1262,4.212499999999986
1263,5.937499999999987
1264,7.999999999999987
1265,10.099999999999985
1266,12.199999999999985
1267,13.924999999999985
1268,14.224999999999985
1269,14.549999999999985
1270,14.174999999999985
1271,12.562499999999984
1272,10.462499999999984
1273,8.412499999999984
1274,6.3999999999999835
1275,4.637499999999983
1276,3.7749999999999835
1277,3.187499999999983
1278,2.349999999999983
1279,1.9374999999999831
1280,1.924999999999983
1281,1.7874999999999828
1282,5.5249999999999835
1283,5.637499999999983
1284,5.9624999999999835
1285,6.5874999999999835
1286,7.749999999999984
1287,9.437499999999984
1288,11.124999999999984
1289,13.124999999999984
1290,11.324999999999983
1291,12.624999999999984
1292,13.224999999999985
1293,13.662499999999985
1294,13.112499999999986
1295,11.949999999999987
1296,10.337499999999986
1297,8.449999999999985
1298,6.512499999999985
1299,5.274999999999985
1300,4.612499999999986
1301,3.7374999999999856
1302,3.5999999999999854
1303,3.4124999999999854
1304,3.5374999999999854
1305,3.3124999999999853
1306,3.262499999999985
1307,3.087499999999985
1308,2.9124999999999845
1309,3.0999999999999845
1310,3.5249999999999844
1311,4.424999999999984
1312,5.049999999999985
1313,6.799999999999985
1314,8.624999999999984
1315,10.362499999999985
1316,11.374999999999984
1317,11.374999999999984
1318,10.824999999999983
1319,10.199999999999983
1320,9.487499999999983
1321,8.074999999999983
1322,6.362499999999983
1323,4.624999999999983
1324,3.649999999999983
1325,3.499999999999983
1326,3.6874999999999827
1327,3.424999999999983
1328,3.4374999999999827
1329,3.2874999999999828
1330,3.1874999999999827
1331,3.2874999999999828
1332,3.7874999999999828
1333,4.349999999999982
1334,5.087499999999983
1335,6.024999999999983
1336,7.687499999999982
1337,9.712499999999983
1338,11.612499999999983
1339,13.237499999999983
1340,14.149999999999983
1341,13.862499999999983
1342,13.524999999999983
1343,12.674999999999983
1344,10.887499999999983
1345,8.949999999999983
1346,7.149999999999983
1347,5.687499999999982
1348,4.337499999999983
1349,3.8999999999999826
1350,3.3499999999999828
1351,3.2874999999999828
1352,3.274999999999983
1353,3.249999999999983
1354,3.474999999999983
1355,3.899999999999983
1356,4.187499999999983
1357,4.574999999999983
1358,5.287499999999983
1359,6.949999999999983
1360,9.349999999999984
1361,11.824999999999983
1362,14.037499999999984
1363,15.712499999999983
1364,16.624999999999982
1365,16.474999999999984
1366,15.887499999999983
